"student_id","school_id","class_id","region","school_type","class_size","school_resources","class_climate_mean","age","grade","gender","ses","parent_edu","books_home","language_home","migration_background","special_education_support","gpa_t1","gpa_t2","gpa_t3","math_grade_t1","language_grade_t1","absences_t1","absences_t2","absences_t3","study_hours","screen_time","homework_completion","teacher_rating_effort","se1_t1","se2_t1","se3_t1","se4_t1","se5_t1","se1_t2","se2_t2","se3_t2","se4_t2","se5_t2","se1_t3","se2_t3","se3_t3","se4_t3","se5_t3","anx1_t1","anx2_t1","anx3_t1","anx4_t1","anx5_t1","anx6_t1","anx1_t2","anx2_t2","anx3_t2","anx4_t2","anx5_t2","anx6_t2","anx1_t3","anx2_t3","anx3_t3","anx4_t3","anx5_t3","anx6_t3","bel1_t1","bel2_t1","bel3_t1","bel4_t1","bel5_t1","bel1_t2","bel2_t2","bel3_t2","bel4_t2","bel5_t2","bel1_t3","bel2_t3","bel3_t3","bel4_t3","bel5_t3","mast1_t1","mast2_t1","mast3_t1","mast4_t1","mast5_t1","ts1_t1","ts2_t1","ts3_t1","ts4_t1","ts5_t1","abil1","abil2","abil3","abil4","abil5","abil6","abil7","abil8","abil9","abil10","abil11","abil12","att_acc","att_rt_inv","att_inhibit","att_switch","missing_any_t1","missing_any_t2","missing_any_t3","dropout_t2","dropout_t3","planned_missing_form"
1,"S01","C001","South","vocational",17,-1.442,-1.742,17.1,12,"girl",-1.405,2,2,"majority_language",0,0,6,5.6,5.8,6.4,7.1,5,1,18,0,4,2,48.6,,4,1,4,,4,2,2,,,4,4,1,3,3,4,3,3,3,1,3,5,4,4,,2,4,2,2,,,,,,2,1,2,1,3,,,3,2,2,2,1,4,2,,2,3,1,4,3,1,3,1,,1,1,0,1,0,1,0,1,0,0,0,0,0.545,-0.295,55.9,51.9,1,1,1,0,0,"C"
2,"S01","C001","South","vocational",17,-1.442,-1.742,17.5,12,"girl",0.418,4,2,"majority_language",0,0,7.7,,,7.9,5.4,3,,,3.4,2.6,4,71,2,4,5,3,5,,,,,,,,,,,1,1,1,1,,2,,,,,,,,,,,,,3,3,1,1,3,,,,,,,,,,,5,5,4,4,5,2,1,1,3,3,1,1,1,1,1,1,0,0,1,0,0,0,,,,,1,1,1,1,1,"B"
3,"S01","C001","South","vocational",17,-1.442,-1.742,17.4,12,"boy",-2.357,1,1,"majority_language",0,0,5.6,,,4.8,7.7,3,,,7,3.9,1,46.3,4,1,4,2,5,,,,,,,,,,,2,2,3,2,4,2,,,,,,,,,,,,,2,1,4,4,1,,,,,,,,,,,3,1,2,2,3,4,3,4,4,,1,1,1,0,0,0,0,0,1,0,0,0,0.553,-1.456,39,35.1,1,1,1,1,1,"C"
4,"S01","C001","South","vocational",17,-1.442,-1.742,17.7,12,"boy",-1.31,1,2,"other_language",0,0,5.7,6,5.7,5.9,6.5,8,5,3,8.9,2.2,1,49.6,3,4,4,2,3,4,2,2,,,4,2,3,4,2,3,4,2,1,3,,3,4,3,3,2,3,2,,3,,,,2,3,3,3,,2,2,3,5,3,2,3,2,1,2,2,3,4,5,5,2,2,4,4,2,0,0,0,1,1,,0,0,0,0,0,0,0.66,-2.453,32.3,36.7,1,1,1,0,0,"C"
5,"S01","C001","South","vocational",17,-1.442,-1.742,17,12,"girl",-0.232,4,1,"majority_language",0,0,6.9,7.8,8.2,8.1,8.2,7,3,9,7.6,5.1,4,58.8,5,4,2,3,5,5,5,4,,,4,5,3,5,3,3,1,1,2,1,1,1,1,1,1,1,2,2,1,1,,,,3,4,5,,3,5,5,2,3,3,2,4,4,3,4,2,5,4,5,5,4,3,,3,2,1,1,1,,1,1,1,1,0,0,0,0,,,,,1,1,1,0,0,"C"
6,"S01","C001","South","vocational",17,-1.442,-1.742,18,12,"boy",-0.902,3,2,"other_language",0,0,6.4,,,6.7,7.5,10,,,2.7,4.8,1,41.4,,4,,3,2,,,,,,,,,,,3,3,2,3,2,2,,,,,,,,,,,,,3,4,3,4,2,,,,,,,,,,,3,2,,4,4,3,4,4,3,4,1,1,1,0,0,0,0,0,1,0,0,0,,,,,1,1,1,1,1,"B"
7,"S01","C001","South","vocational",17,-1.442,-1.742,17,12,"girl",-0.956,3,2,"majority_language",0,0,5.7,6,5.5,6.5,6.4,3,5,11,2.1,2.2,1,51,3,3,4,4,3,2,1,1,3,3,1,1,1,3,2,1,2,3,4,3,3,1,2,1,,,,,2,3,4,2,4,4,3,3,2,,3,1,1,2,2,3,4,3,,,1,1,1,1,2,3,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0.536,-1.288,30.8,40.7,1,1,1,0,0,"B"
8,"S01","C001","South","vocational",17,-1.442,-1.742,16.8,12,"boy",-0.758,4,2,"majority_language",0,0,4.8,4.6,5.1,4.4,5.9,3,9,22,2.5,3.4,1,29.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,4,5,5,3,3,,5,4,4,3,3,4,,5,5,2,,1,1,2,4,3,4,,5,4,2,4,4,2,3,2,1,,3,2,1,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,,,,,1,1,1,0,0,"A"
9,"S01","C001","South","vocational",17,-1.442,-1.742,17.9,12,"girl",0.278,3,4,"majority_language",0,0,6.8,7.5,7.7,8.4,7.5,0,2,3,4.5,2,2,57.1,4,4,3,5,3,2,4,4,4,4,4,3,5,4,4,2,2,3,1,1,3,2,2,2,1,3,2,,1,2,2,1,2,3,,1,2,4,4,2,2,,,2,2,2,4,2,2,3,4,3,,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0.85,0.107,62.5,46.4,1,1,1,0,0,"A"
10,"S01","C001","South","vocational",17,-1.442,-1.742,17.8,12,"girl",-1.185,1,2,"majority_language",1,0,5.6,,,6.5,6.3,10,,,0.6,2.1,1,37.3,,2,1,2,2,,,,,,,,,,,3,3,2,,2,4,,,,,,,,,,,,,2,5,2,,3,,,,,,,,,,,1,2,3,2,3,3,5,5,2,2,0,0,0,0,0,0,0,0,0,0,0,1,,,,,1,1,1,1,1,"A"
