"variable","type","scale","wave","construct","missing_rate"
"student_id","numeric","continuous","","demographics",0
"school_id","character","categorical","","cluster_context",0
"class_id","character","categorical","","cluster_context",0
"region","character","categorical","","cluster_context",0
"school_type","character","categorical","","cluster_context",0
"class_size","numeric","continuous","","cluster_context",0
"school_resources","numeric","continuous","","cluster_context",0
"class_climate_mean","numeric","continuous","","cluster_context",0
"age","numeric","continuous","","demographics",0
"grade","integer","continuous","","demographics",0
"gender","character","categorical","","demographics",0
"ses","numeric","continuous","","demographics",0
"parent_edu","integer","ordinal_1_5","","demographics",0.017
"books_home","integer","ordinal_1_5","","demographics",0.02
"language_home","character","categorical","","demographics",0
"migration_background","integer","binary_0_1","","demographics",0
"special_education_support","integer","binary_0_1","","demographics",0
"gpa_t1","numeric","continuous","t1","observed_academic_behavioural",0
"gpa_t2","numeric","continuous","t2","observed_academic_behavioural",0.138
"gpa_t3","numeric","continuous","t3","observed_academic_behavioural",0.274
"math_grade_t1","numeric","continuous","t1","observed_academic_behavioural",0
"language_grade_t1","numeric","continuous","t1","observed_academic_behavioural",0
"absences_t1","numeric","count","t1","observed_academic_behavioural",0
"absences_t2","numeric","count","t2","observed_academic_behavioural",0.138
"absences_t3","numeric","count","t3","observed_academic_behavioural",0.274
"study_hours","numeric","continuous","","observed_academic_behavioural",0
"screen_time","numeric","continuous","","observed_academic_behavioural",0
"homework_completion","integer","ordinal_1_5","","observed_academic_behavioural",0
"teacher_rating_effort","numeric","continuous","","observed_academic_behavioural",0
"se1_t1","integer","ordinal_1_5","t1","academic_self_efficacy",0.049
"se2_t1","integer","ordinal_1_5","t1","academic_self_efficacy",0.05
"se3_t1","integer","ordinal_1_5","t1","academic_self_efficacy",0.056
"se4_t1","integer","ordinal_1_5","t1","academic_self_efficacy",0.043
"se5_t1","integer","ordinal_1_5","t1","academic_self_efficacy",0.058
"se1_t2","integer","ordinal_1_5","t2","academic_self_efficacy",0.177
"se2_t2","integer","ordinal_1_5","t2","academic_self_efficacy",0.179
"se3_t2","integer","ordinal_1_5","t2","academic_self_efficacy",0.168
"se4_t2","integer","ordinal_1_5","t2","academic_self_efficacy",0.437
"se5_t2","integer","ordinal_1_5","t2","academic_self_efficacy",0.437
"se1_t3","integer","ordinal_1_5","t3","academic_self_efficacy",0.305
"se2_t3","integer","ordinal_1_5","t3","academic_self_efficacy",0.304
"se3_t3","integer","ordinal_1_5","t3","academic_self_efficacy",0.307
"se4_t3","integer","ordinal_1_5","t3","academic_self_efficacy",0.302
"se5_t3","integer","ordinal_1_5","t3","academic_self_efficacy",0.3
"anx1_t1","integer","ordinal_1_5","t1","school_anxiety",0.047
"anx2_t1","integer","ordinal_1_5","t1","school_anxiety",0.054
"anx3_t1","integer","ordinal_1_5","t1","school_anxiety",0.05
"anx4_t1","integer","ordinal_1_5","t1","school_anxiety",0.044
"anx5_t1","integer","ordinal_1_5","t1","school_anxiety",0.054
"anx6_t1","integer","ordinal_1_5","t1","school_anxiety",0.052
"anx1_t2","integer","ordinal_1_5","t2","school_anxiety",0.177
"anx2_t2","integer","ordinal_1_5","t2","school_anxiety",0.183
"anx3_t2","integer","ordinal_1_5","t2","school_anxiety",0.175
"anx4_t2","integer","ordinal_1_5","t2","school_anxiety",0.47
"anx5_t2","integer","ordinal_1_5","t2","school_anxiety",0.467
"anx6_t2","integer","ordinal_1_5","t2","school_anxiety",0.47
"anx1_t3","integer","ordinal_1_5","t3","school_anxiety",0.307
"anx2_t3","integer","ordinal_1_5","t3","school_anxiety",0.298
"anx3_t3","integer","ordinal_1_5","t3","school_anxiety",0.302
"anx4_t3","integer","ordinal_1_5","t3","school_anxiety",0.53
"anx5_t3","integer","ordinal_1_5","t3","school_anxiety",0.529
"anx6_t3","integer","ordinal_1_5","t3","school_anxiety",0.524
"bel1_t1","integer","ordinal_1_5","t1","school_belonging",0.048
"bel2_t1","integer","ordinal_1_5","t1","school_belonging",0.053
"bel3_t1","integer","ordinal_1_5","t1","school_belonging",0.042
"bel4_t1","integer","ordinal_1_5","t1","school_belonging",0.048
"bel5_t1","integer","ordinal_1_5","t1","school_belonging",0.053
"bel1_t2","integer","ordinal_1_5","t2","school_belonging",0.176
"bel2_t2","integer","ordinal_1_5","t2","school_belonging",0.173
"bel3_t2","integer","ordinal_1_5","t2","school_belonging",0.173
"bel4_t2","integer","ordinal_1_5","t2","school_belonging",0.174
"bel5_t2","integer","ordinal_1_5","t2","school_belonging",0.183
"bel1_t3","integer","ordinal_1_5","t3","school_belonging",0.303
"bel2_t3","integer","ordinal_1_5","t3","school_belonging",0.302
"bel3_t3","integer","ordinal_1_5","t3","school_belonging",0.294
"bel4_t3","integer","ordinal_1_5","t3","school_belonging",0.549
"bel5_t3","integer","ordinal_1_5","t3","school_belonging",0.553
"mast1_t1","integer","ordinal_1_5","t1","mastery_goal_orientation",0.043
"mast2_t1","integer","ordinal_1_5","t1","mastery_goal_orientation",0.05
"mast3_t1","integer","ordinal_1_5","t1","mastery_goal_orientation",0.041
"mast4_t1","integer","ordinal_1_5","t1","mastery_goal_orientation",0.06
"mast5_t1","integer","ordinal_1_5","t1","mastery_goal_orientation",0.051
"ts1_t1","integer","ordinal_1_5","t1","teacher_support",0.045
"ts2_t1","integer","ordinal_1_5","t1","teacher_support",0.045
"ts3_t1","integer","ordinal_1_5","t1","teacher_support",0.055
"ts4_t1","integer","ordinal_1_5","t1","teacher_support",0.044
"ts5_t1","integer","ordinal_1_5","t1","teacher_support",0.047
"abil1","integer","binary_0_1","t1","academic_reasoning_ability",0.031
"abil2","integer","binary_0_1","t1","academic_reasoning_ability",0.044
"abil3","integer","binary_0_1","t1","academic_reasoning_ability",0.036
"abil4","integer","binary_0_1","t1","academic_reasoning_ability",0.035
"abil5","integer","binary_0_1","t1","academic_reasoning_ability",0.03
"abil6","integer","binary_0_1","t1","academic_reasoning_ability",0.043
"abil7","integer","binary_0_1","t1","academic_reasoning_ability",0.035
"abil8","integer","binary_0_1","t1","academic_reasoning_ability",0.032
"abil9","integer","binary_0_1","t1","academic_reasoning_ability",0.037
"abil10","integer","binary_0_1","t1","academic_reasoning_ability",0.034
"abil11","integer","binary_0_1","t1","academic_reasoning_ability",0.033
"abil12","integer","binary_0_1","t1","academic_reasoning_ability",0.037
"att_acc","numeric","continuous","t1","attention_regulation",0.106
"att_rt_inv","numeric","continuous","t1","attention_regulation",0.106
"att_inhibit","numeric","continuous","t1","attention_regulation",0.106
"att_switch","numeric","continuous","t1","attention_regulation",0.106
"missing_any_t1","integer","binary_0_1","t1","missing_data_design",0
"missing_any_t2","integer","binary_0_1","t2","missing_data_design",0
"missing_any_t3","integer","binary_0_1","t3","missing_data_design",0
"dropout_t2","integer","binary_0_1","t2","missing_data_design",0
"dropout_t3","numeric","binary_0_1","t3","missing_data_design",0
"planned_missing_form","character","categorical","","missing_data_design",0
